ID,Description
COG0042,Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
COG0043,3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
COG0044,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
COG0045,succinate-CoA ligase (ADP-forming) activity
COG0046,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL
COG0047,phosphoribosylformylglycinamidine synthase activity
COG0048,Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit
COG0049,tRNA binding
COG0050,This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
COG0051,transcription antitermination factor activity, RNA binding
COG0052,Belongs to the universal ribosomal protein uS2 family
COG0053,Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family
COG0054,6,7-dimethyl-8-ribityllumazine synthase activity
COG0055,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
COG0056,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
COG0057,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
COG0058,SHG alpha-glucan phosphorylase activity
COG0059,Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate
COG0060,amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)
COG0061,Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP
COG0062,Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
COG0063,ADP-dependent NAD(P)H-hydrate dehydratase activity
COG0064,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
COG0065,Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate
COG0066,3-isopropylmalate dehydratase activity
COG0067,glutamate synthase
COG0068,Along with HypE, it catalyzes the synthesis of the CN ligands of the active site iron of NiFe -hydrogenases using carbamoylphosphate as a substrate. It functions as a carbamoyl transferase using carbamoylphosphate as a substrate and transferring the carboxamido moiety in an ATP-dependent reaction to the thiolate of the C-terminal cysteine of HypE yielding a protein-S-carboxamide
COG0069,glutamate synthase activity
COG0070,glutamate synthase
COG0071,Belongs to the small heat shock protein (HSP20) family
COG0072,phenylalanine-tRNA ligase activity
COG0073,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
COG0074,Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit
COG0075,2-aminoethylphosphonate-pyruvate transaminase activity
COG0076,glutamate decarboxylase activity
COG0077,Prephenate dehydratase
COG0078,Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline
COG0079,Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily
COG0080,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors
COG0081,regulation of translation
COG0082,Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
COG0083,homoserine kinase activity
COG0084,hydrolase, TatD family'
COG0085,RNA polymerase activity
COG0086,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
COG0087,One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit
COG0088,Forms part of the polypeptide exit tunnel
COG0089,rRNA binding
COG0090,One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity
COG0091,The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome
COG0092,Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation
COG0093,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
COG0094,This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits
COG0095,Lipoate-protein ligase
COG0096,One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit
COG0097,This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center
COG0098,Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body
COG0099,Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
COG0100,Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome
COG0101,tRNA pseudouridine synthase activity
COG0102,This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly
COG0103,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
COG0104,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
COG0105,UTP biosynthetic process
COG0106,1-(5-phosphoribosyl)-5- 5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase
COG0107,imidazoleglycerol-phosphate synthase activity
COG0108,Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
COG0109,protoheme IX farnesyltransferase activity
COG0110,maltose O-acetyltransferase activity
COG0111,D-isomer specific 2-hydroxyacid dehydrogenase
COG0112,Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
COG0113,porphobilinogen synthase activity
COG0114,fumarate hydratase activity
COG0115,Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
COG0116,Belongs to the methyltransferase superfamily
COG0117,Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate
COG0118,IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR
COG0119,Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
COG0120,Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate
COG0121,glutamine amidotransferase
COG0122,3-methyladenine DNA glycosylase 8-oxoguanine DNA glycosylase
COG0123,including yeast histone deacetylase and acetoin utilization protein
COG0124,histidyl-tRNA synthetase
COG0125,Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis
COG0126,phosphoglycerate kinase activity
COG0127,Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
COG0128,3-phosphoshikimate 1-carboxyvinyltransferase activity
COG0129,dihydroxy-acid dehydratase activity
COG0130,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs
COG0131,Imidazoleglycerol-phosphate dehydratase
COG0132,Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring
COG0133,tryptophan synthase activity
COG0134,indole-3-glycerol-phosphate synthase activity
COG0135,phosphoribosylanthranilate isomerase activity
COG0136,Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
COG0137,argininosuccinate synthase activity
COG0138,bifunctional purine biosynthesis protein purh
COG0139,Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP
COG0140,phosphoribosyl-ATP diphosphatase activity
COG0141,Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
COG0142,geranyltranstransferase activity
COG0143,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
COG0144,Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
COG0145,ligase activity
COG0146,N-methylhydantoinase B acetone carboxylase alpha subunit
COG0147,Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia
COG0148,phosphopyruvate hydratase activity
COG0149,triose-phosphate isomerase activity
COG0150,phosphoribosylformylglycinamidine cyclo-ligase activity
COG0151,Belongs to the GarS family
COG0152,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
COG0153,Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P)
COG0154,amidase activity
COG0155,Belongs to the nitrite and sulfite reductase 4Fe-4S domain family
COG0156,8-amino-7-oxononanoate synthase activity
COG0157,Belongs to the NadC ModD family
COG0158,D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1
COG0159,tryptophan synthase activity
COG0160,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
COG0161,adenosylmethionine-8-amino-7-oxononanoate transaminase activity
COG0162,Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)
COG0163,prenyltransferase activity
COG0164,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids
COG0165,Argininosuccinate lyase
COG0166,Belongs to the GPI family
COG0167,dihydroorotate dehydrogenase activity
COG0168,Low-affinity potassium transport system. Interacts with trk system potassium uptake protein TrkA
COG0169,Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
COG0171,NAD+ synthase (glutamine-hydrolyzing) activity
COG0172,Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)
COG0173,Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn)
COG0174,glutamine synthetase
COG0175,sulfate reduction
COG0176,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway
COG0177,DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate
COG0178,The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 uvrA and 2 uvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by uvrB, the uvrA molecules dissociate
COG0179,Fumarylacetoacetate (FAA) hydrolase
COG0180,Tryptophanyl-tRNA synthetase
COG0181,hydroxymethylbilane synthase activity
COG0182,Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)
COG0183,Belongs to the thiolase family
COG0184,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome
COG0185,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
COG0186,One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA
COG0187,DNA topoisomerase II activity
331C0,COG0188 Type IIA topoisomerase (DNA gyrase topo II topoisomerase IV) A subunit
COG0188,A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
COG0189,ligase activity
COG0190,Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate
COG0191,fructose-bisphosphate aldolase activity
COG0192,Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme
COG0193,aminoacyl-tRNA hydrolase activity
COG0194,GDP metabolic process
COG0195,Participates in both transcription termination and antitermination
COG0196,riboflavin kinase activity
COG0197,Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
COG0198,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
COG0199,Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site
COG0200,Binds to the 23S rRNA
COG0201,protein transport
COG0202,RNA polymerase activity
COG0203,ribosomal protein L17
COG0204,Acyl-transferase
COG0205,6-phosphofructokinase activity
COG0206,Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity
COG0207,Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis
COG0208,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
COG0209,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
COG0210,DNA helicase
COG0211,Belongs to the bacterial ribosomal protein bL27 family
COG0212,Belongs to the 5-formyltetrahydrofolate cyclo-ligase family
COG0213,The enzymes which catalyze the reversible phosphorolysis of pyrimidine nucleosides are involved in the degradation of these compounds and in their utilization as carbon and energy sources, or in the rescue of pyrimidine bases for nucleotide synthesis
COG0214,Catalyzes the formation of pyridoxal 5'-phosphate from ribose 5-phosphate (RBP), glyceraldehyde 3-phosphate (G3P) and ammonia. The ammonia is provided by the PdxT subunit. Can also use ribulose 5-phosphate and dihydroxyacetone phosphate as substrates, resulting from enzyme-catalyzed isomerization of RBP and G3P, respectively
COG0215,cysteine-tRNA ligase activity
COG0216,Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA
COG0217,transcriptional regulatory protein
COG0218,Necessary for normal cell division and for the maintenance of normal septation
COG0219,Methylates the ribose at the nucleotide 34 wobble position in the two leucyl isoacceptors tRNA(Leu)(CmAA) and tRNA(Leu)(cmnm5UmAA). Catalyzes the methyl transfer from S- adenosyl-L-methionine to the 2'-OH of the wobble nucleotide
COG0220,tRNA (guanine-N7-)-methyltransferase activity
COG0221,Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions
COG0222,ribosome binding
COG0223,Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
COG0224,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
COG0225,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine
COG0226,Part of the ABC transporter complex PstSACB involved in phosphate import
COG0227,Belongs to the bacterial ribosomal protein bL28 family
COG0228,four-way junction DNA binding
COG0229,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine
COG0230,Belongs to the bacterial ribosomal protein bL34 family
COG0231,Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase
COG0232,Belongs to the dGTPase family. Type 2 subfamily
COG0233,cytoplasmic translational termination
COG0234,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
COG0235,Class ii aldolase
COG0236,Carrier of the growing fatty acid chain in fatty acid biosynthesis
COG0237,dephospho-CoA kinase activity
COG0238,Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
COG0239,Important for reducing fluoride concentration in the cell, thus reducing its toxicity
COG0240,glycerol-3-phosphate dehydrogenase [NAD(P)+] activity
COG0241,D,D-heptose 1,7-bisphosphate phosphatase
COG0242,peptide deformylase activity
COG0243,molybdopterin cofactor binding
COG0244,Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors
COG0245,2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
COG0246,Mannitol dehydrogenase
COG0247,lactate metabolic process
COG0248,Ppx GppA phosphatase
COG0249,that it carries out the mismatch recognition step. This protein has a weak ATPase activity
COG0250,Participates in transcription elongation, termination and antitermination
COG0251,oxidation-reduction process
COG0252,asparaginase activity
COG0253,Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan
COG0254,rRNA binding
COG0255,Belongs to the universal ribosomal protein uL29 family
COG0256,This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance
COG0257,Belongs to the bacterial ribosomal protein bL36 family
COG0258,In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity
COG0259,pyridoxamine-phosphate oxidase activity
COG0260,Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
COG0261,This protein binds to 23S rRNA in the presence of protein L20
COG0262,Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis
COG0263,Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate
COG0264,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
33QGC,COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0265,Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0266,class I DNA-(apurinic or apyrimidinic site) endonuclease activity
COG0267,Belongs to the bacterial ribosomal protein bL33 family
COG0268,Binds directly to 16S ribosomal RNA
COG0270,DNA (cytosine-5-)-methyltransferase activity
COG0271,Belongs to the BolA IbaG family
COG0272,DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA
COG0274,Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate
COG0275,rRNA processing
COG0276,Catalyzes the ferrous insertion into protoporphyrin IX
COG0277,FAD linked oxidase domain protein
COG0278,Belongs to the glutaredoxin family. Monothiol subfamily
COG0279,D-glycero-D-manno-heptose 7-phosphate biosynthetic process
COG0280,phosphate acetyltransferase
COG0281,malic enzyme
COG0282,Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
COG0283,belongs to the cytidylate kinase family. Type 1 subfamily
COG0284,orotidine-5'-phosphate decarboxylase activity
COG0285,dihydrofolate synthase activity
COG0286,site-specific DNA-methyltransferase (adenine-specific) activity
COG0287,Prephenate dehydrogenase
COG0288,reversible hydration of carbon dioxide
COG0289,4-hydroxy-tetrahydrodipicolinate reductase
COG0290,IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins
COG0291,Belongs to the bacterial ribosomal protein bL35 family
COG0292,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
COG0293,Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit
